Time,Voltage,Current,Power
1837,0.0,-0.09146341463414634,0.0
1838,0.0,-0.09146341463414634,0.0
1839,0.0,-0.09146341463414634,0.0
1840,0.0,-0.09146341463414634,0.0
1841,0.0,-0.09146341463414634,0.0
1842,0.0,-0.09146341463414634,0.0
1843,0.0,-0.09146341463414634,0.0
1844,0.0,0.0,0.0
1845,0.0,0.0,0.0
1846,0.0,-0.09146341463414634,0.0
1847,0.0,0.0,0.0
1848,0.0,0.0,0.0
1849,0.0,0.0,0.0
1850,0.0,0.0,0.0
1851,0.0,0.0,0.0
1852,0.0,0.0,0.0
1853,0.0,0.0,0.0
1854,0.0,0.0,0.0
1855,0.0,0.0,0.0
1856,0.0,0.0,0.0
1857,0.0,0.0,0.0
1858,0.0,-0.09146341463414634,0.0
